Month,Closing Values
1-Dec-1963,762.95
1-Jan-1964,785.34
1-Feb-1964,800.14
1-Mar-1964,813.29
1-Apr-1964,810.77
1-May-1964,820.56
1-Jun-1964,831.50
1-Jul-1964,841.10
1-Aug-1964,838.48
1-Sep-1964,875.37
1-Oct-1964,873.08
1-Nov-1964,875.43
1-Dec-1964,874.13
1-Jan-1965,902.86
1-Feb-1965,903.48
1-Mar-1965,889.05
1-Apr-1965,922.31
1-May-1965,918.04
1-Jun-1965,868.03
1-Jul-1965,881.74
1-Aug-1965,893.10
1-Sep-1965,930.58
1-Oct-1965,960.82
1-Nov-1965,946.71
1-Dec-1965,969.26
1-Jan-1966,983.51
1-Feb-1966,951.89
1-Mar-1966,924.77
1-Apr-1966,933.68
1-May-1966,884.07
1-Jun-1966,870.10
1-Jul-1966,847.38
1-Aug-1966,788.41
1-Sep-1966,774.22
1-Oct-1966,807.07
1-Nov-1966,791.59
1-Dec-1966,785.69
1-Jan-1967,849.89
1-Feb-1967,839.37
1-Mar-1967,865.98
1-Apr-1967,897.05
1-May-1967,852.56
1-Jun-1967,860.26
1-Jul-1967,904.24
1-Aug-1967,901.29
1-Sep-1967,926.66
1-Oct-1967,879.74
1-Nov-1967,875.81
1-Dec-1967,905.11
1-Jan-1968,855.47
1-Feb-1968,840.50
1-Mar-1968,840.67
1-Apr-1968,912.22
1-May-1968,899.00
1-Jun-1968,897.80
1-Jul-1968,883.00
1-Aug-1968,896.01
1-Sep-1968,935.79
1-Oct-1968,952.39
1-Nov-1968,985.08
1-Dec-1968,943.75
1-Jan-1969,946.05
1-Feb-1969,905.21
1-Mar-1969,935.48
1-Apr-1969,950.18
1-May-1969,937.56
1-Jun-1969,873.19
1-Jul-1969,815.47
1-Aug-1969,836.72
1-Sep-1969,813.09
1-Oct-1969,855.99
1-Nov-1969,812.30
1-Dec-1969,800.36
1-Jan-1970,744.06
1-Feb-1970,777.59
1-Mar-1970,785.57
1-Apr-1970,736.07
1-May-1970,700.44
1-Jun-1970,683.53
1-Jul-1970,734.12
1-Aug-1970,764.58
1-Sep-1970,760.68
1-Oct-1970,755.61
1-Nov-1970,794.09
1-Dec-1970,838.92
1-Jan-1971,868.50
1-Feb-1971,878.83
1-Mar-1971,904.37
1-Apr-1971,941.75
1-May-1971,907.81
1-Jun-1971,891.14
1-Jul-1971,858.43
1-Aug-1971,898.07
1-Sep-1971,887.19
1-Oct-1971,839.00
1-Nov-1971,831.34
1-Dec-1971,890.20
1-Jan-1972,902.17
1-Feb-1972,928.13
1-Mar-1972,940.70
1-Apr-1972,954.17
1-May-1972,960.72
1-Jun-1972,929.03
1-Jul-1972,924.74
1-Aug-1972,963.73
1-Sep-1972,953.27
1-Oct-1972,955.52
1-Nov-1972,1018.21
1-Dec-1972,1020.02
1-Jan-1973,999.02
1-Feb-1973,955.07
1-Mar-1973,951.01
1-Apr-1973,921.43
1-May-1973,901.41
1-Jun-1973,891.71
1-Jul-1973,926.40
1-Aug-1973,887.57
1-Sep-1973,947.10
1-Oct-1973,956.58
1-Nov-1973,822.25
1-Dec-1973,850.86
1-Jan-1974,855.55
1-Feb-1974,860.53
1-Mar-1974,846.68
1-Apr-1974,836.75
1-May-1974,802.17
1-Jun-1974,802.41
1-Jul-1974,757.43
1-Aug-1974,678.58
1-Sep-1974,607.87
1-Oct-1974,665.52
1-Nov-1974,618.66
1-Dec-1974,616.24
1-Jan-1975,703.69
1-Feb-1975,739.05
1-Mar-1975,768.15
1-Apr-1975,821.34
